sport,game_id,book,home_team,away_team,home_team_odds,away_team_odds,date_time
NBA,a916ee7696fde8f1a82e214c36a04b9a,betmgm,Denver Nuggets,Orlando Magic,,,2025-02-06 22:03:21.931521
NBA,39da2a6da9ab2746b1ff9f320f9f5a14,betmgm,Los Angeles Lakers,Golden State Warriors,-3000.0,1150.0,2025-02-06 22:03:21.931521
NBA,b3df91f1d79355a68f8aa279f17e2a3e,betmgm,Portland Trail Blazers,Sacramento Kings,-185.0,145.0,2025-02-06 22:03:21.931521
NBA,0dd68311a8617606a6956cd6e511fd9e,betmgm,Los Angeles Clippers,Indiana Pacers,-750.0,475.0,2025-02-06 22:03:21.931521
NBA,c8310e046f80bf6292c633aff61cffdb,betmgm,Charlotte Hornets,San Antonio Spurs,450.0,-625.0,2025-02-06 22:03:21.931521
NBA,f592f9667df5d2b96f41a71c90cddf39,betmgm,Washington Wizards,Cleveland Cavaliers,1000.0,-2000.0,2025-02-06 22:03:21.931521
NBA,9a5a6098686e727ed1ed46d6dfc879ca,betmgm,Atlanta Hawks,Milwaukee Bucks,180.0,-220.0,2025-02-06 22:03:21.931521
NBA,2ee31055f5cc3975abda3f49017b550e,betmgm,Brooklyn Nets,Miami Heat,220.0,-275.0,2025-02-06 22:03:21.931521
NBA,78e03cf799710b90c7e8b9af3bb4d1d1,betmgm,Detroit Pistons,Philadelphia 76ers,115.0,-140.0,2025-02-06 22:03:21.931521
NBA,5c962a5ad947d385ee524f36970a8ce4,betmgm,Oklahoma City Thunder,Toronto Raptors,-3000.0,1250.0,2025-02-06 22:03:21.931521
NBA,984ea4c49b7729eb8269618e77e99b27,betmgm,Phoenix Suns,Utah Jazz,,,2025-02-06 22:03:21.931521
NBA,8c5dfc09221b32ad1835ce0e5c426454,betmgm,Los Angeles Lakers,Dallas Mavericks,,,2025-02-06 22:03:21.931521
NBA,f880e059bbee7b5b9e4af4d17bcee511,betmgm,Sacramento Kings,San Antonio Spurs,,,2025-02-06 22:03:21.931521
NBA,0e1dde121b5be88b7c95e744d43c877f,betmgm,Miami Heat,Golden State Warriors,,,2025-02-06 22:03:21.931521
NBA,a916ee7696fde8f1a82e214c36a04b9a,fliff,Denver Nuggets,Orlando Magic,,,2025-02-06 22:03:21.931521
NBA,39da2a6da9ab2746b1ff9f320f9f5a14,fliff,Los Angeles Lakers,Golden State Warriors,-5005.0,1015.0,2025-02-06 22:03:21.931521
NBA,b3df91f1d79355a68f8aa279f17e2a3e,fliff,Portland Trail Blazers,Sacramento Kings,-175.0,125.0,2025-02-06 22:03:21.931521
NBA,0dd68311a8617606a6956cd6e511fd9e,fliff,Los Angeles Clippers,Indiana Pacers,-350.0,230.0,2025-02-06 22:03:21.931521
NBA,c8310e046f80bf6292c633aff61cffdb,fliff,Charlotte Hornets,San Antonio Spurs,430.0,-705.0,2025-02-06 22:03:21.931521
NBA,f592f9667df5d2b96f41a71c90cddf39,fliff,Washington Wizards,Cleveland Cavaliers,935.0,-2195.0,2025-02-06 22:03:21.931521
NBA,9a5a6098686e727ed1ed46d6dfc879ca,fliff,Atlanta Hawks,Milwaukee Bucks,170.0,-230.0,2025-02-06 22:03:21.931521
NBA,2ee31055f5cc3975abda3f49017b550e,fliff,Brooklyn Nets,Miami Heat,215.0,-295.0,2025-02-06 22:03:21.931521
NBA,78e03cf799710b90c7e8b9af3bb4d1d1,fliff,Detroit Pistons,Philadelphia 76ers,110.0,-145.0,2025-02-06 22:03:21.931521
NBA,5c962a5ad947d385ee524f36970a8ce4,fliff,Oklahoma City Thunder,Toronto Raptors,-2850.0,1075.0,2025-02-06 22:03:21.931521
NBA,984ea4c49b7729eb8269618e77e99b27,fliff,Phoenix Suns,Utah Jazz,-330.0,235.0,2025-02-06 22:03:21.931521
NBA,8c5dfc09221b32ad1835ce0e5c426454,fliff,Los Angeles Lakers,Dallas Mavericks,,,2025-02-06 22:03:21.931521
NBA,f880e059bbee7b5b9e4af4d17bcee511,fliff,Sacramento Kings,San Antonio Spurs,,,2025-02-06 22:03:21.931521
NBA,0e1dde121b5be88b7c95e744d43c877f,fliff,Miami Heat,Golden State Warriors,,,2025-02-06 22:03:21.931521
NBA,a916ee7696fde8f1a82e214c36a04b9a,bovada,Denver Nuggets,Orlando Magic,,,2025-02-06 22:03:21.931521
NBA,39da2a6da9ab2746b1ff9f320f9f5a14,bovada,Los Angeles Lakers,Golden State Warriors,,,2025-02-06 22:03:21.931521
NBA,b3df91f1d79355a68f8aa279f17e2a3e,bovada,Portland Trail Blazers,Sacramento Kings,-185.0,140.0,2025-02-06 22:03:21.931521
NBA,0dd68311a8617606a6956cd6e511fd9e,bovada,Los Angeles Clippers,Indiana Pacers,-750.0,450.0,2025-02-06 22:03:21.931521
NBA,c8310e046f80bf6292c633aff61cffdb,bovada,Charlotte Hornets,San Antonio Spurs,425.0,-600.0,2025-02-06 22:03:21.931521
NBA,f592f9667df5d2b96f41a71c90cddf39,bovada,Washington Wizards,Cleveland Cavaliers,800.0,-1600.0,2025-02-06 22:03:21.931521
NBA,9a5a6098686e727ed1ed46d6dfc879ca,bovada,Atlanta Hawks,Milwaukee Bucks,180.0,-220.0,2025-02-06 22:03:21.931521
NBA,2ee31055f5cc3975abda3f49017b550e,bovada,Brooklyn Nets,Miami Heat,215.0,-260.0,2025-02-06 22:03:21.931521
NBA,78e03cf799710b90c7e8b9af3bb4d1d1,bovada,Detroit Pistons,Philadelphia 76ers,120.0,-140.0,2025-02-06 22:03:21.931521
NBA,5c962a5ad947d385ee524f36970a8ce4,bovada,Oklahoma City Thunder,Toronto Raptors,-2500.0,1050.0,2025-02-06 22:03:21.931521
NBA,984ea4c49b7729eb8269618e77e99b27,bovada,Phoenix Suns,Utah Jazz,,,2025-02-06 22:03:21.931521
