sport,game_id,book,home_team,away_team,home_team_odds,away_team_odds,date_time,home_break_even,away_break_even,home_novig,away_novig,home_novig_avg,away_novig_avg,home_edge,away_edge
NBA,a916ee7696fde8f1a82e214c36a04b9a,betmgm,Denver Nuggets,Orlando Magic,,,2025-02-06 22:03:21.931521,,,,,,,,
NBA,39da2a6da9ab2746b1ff9f320f9f5a14,betmgm,Los Angeles Lakers,Golden State Warriors,-3000.0,1150.0,2025-02-06 22:03:21.931521,96.77,8.0,92.36,7.64,92.91,7.09,-3.86,-0.91
NBA,b3df91f1d79355a68f8aa279f17e2a3e,betmgm,Portland Trail Blazers,Sacramento Kings,-185.0,145.0,2025-02-06 22:03:21.931521,64.91,40.82,61.39,38.61,60.89,39.11,-4.02,-1.71
NBA,0dd68311a8617606a6956cd6e511fd9e,betmgm,Los Angeles Clippers,Indiana Pacers,-750.0,475.0,2025-02-06 22:03:21.931521,88.24,17.39,83.54,16.46,82.47,17.53,-5.77,0.14
NBA,c8310e046f80bf6292c633aff61cffdb,betmgm,Charlotte Hornets,San Antonio Spurs,450.0,-625.0,2025-02-06 22:03:21.931521,18.18,86.21,17.42,82.58,17.71,82.29,-0.47,-3.92
NBA,f592f9667df5d2b96f41a71c90cddf39,betmgm,Washington Wizards,Cleveland Cavaliers,1000.0,-2000.0,2025-02-06 22:03:21.931521,9.09,95.24,8.71,91.29,9.32,90.68,0.23,-4.56
NBA,9a5a6098686e727ed1ed46d6dfc879ca,betmgm,Atlanta Hawks,Milwaukee Bucks,180.0,-220.0,2025-02-06 22:03:21.931521,35.71,68.75,34.19,65.81,34.7,65.3,-1.01,-3.45
NBA,2ee31055f5cc3975abda3f49017b550e,betmgm,Brooklyn Nets,Miami Heat,220.0,-275.0,2025-02-06 22:03:21.931521,31.25,73.33,29.88,70.12,30.15,69.85,-1.1,-3.48
NBA,78e03cf799710b90c7e8b9af3bb4d1d1,betmgm,Detroit Pistons,Philadelphia 76ers,115.0,-140.0,2025-02-06 22:03:21.931521,46.51,58.33,44.36,55.64,44.8,55.2,-1.71,-3.13
NBA,5c962a5ad947d385ee524f36970a8ce4,betmgm,Oklahoma City Thunder,Toronto Raptors,-3000.0,1250.0,2025-02-06 22:03:21.931521,96.77,7.41,92.89,7.11,91.95,8.05,-4.82,0.64
NBA,984ea4c49b7729eb8269618e77e99b27,betmgm,Phoenix Suns,Utah Jazz,,,2025-02-06 22:03:21.931521,,,,,72.38,27.62,,
NBA,8c5dfc09221b32ad1835ce0e5c426454,betmgm,Los Angeles Lakers,Dallas Mavericks,,,2025-02-06 22:03:21.931521,,,,,63.56,36.44,,
NBA,f880e059bbee7b5b9e4af4d17bcee511,betmgm,Sacramento Kings,San Antonio Spurs,,,2025-02-06 22:03:21.931521,,,,,54.27,45.73,,
NBA,0e1dde121b5be88b7c95e744d43c877f,betmgm,Miami Heat,Golden State Warriors,,,2025-02-06 22:03:21.931521,,,,,51.08,48.92,,
NBA,a916ee7696fde8f1a82e214c36a04b9a,fliff,Denver Nuggets,Orlando Magic,,,2025-02-06 22:03:21.931521,,,,,,,,
NBA,39da2a6da9ab2746b1ff9f320f9f5a14,fliff,Los Angeles Lakers,Golden State Warriors,-5005.0,1015.0,2025-02-06 22:03:21.931521,98.04,8.97,91.62,8.38,92.91,7.09,-5.13,-1.88
NBA,b3df91f1d79355a68f8aa279f17e2a3e,fliff,Portland Trail Blazers,Sacramento Kings,-175.0,125.0,2025-02-06 22:03:21.931521,63.64,44.44,58.88,41.12,60.89,39.11,-2.75,-5.33
NBA,0dd68311a8617606a6956cd6e511fd9e,fliff,Los Angeles Clippers,Indiana Pacers,-350.0,230.0,2025-02-06 22:03:21.931521,77.78,30.3,71.97,28.03,82.47,17.53,4.69,-12.77
NBA,c8310e046f80bf6292c633aff61cffdb,fliff,Charlotte Hornets,San Antonio Spurs,430.0,-705.0,2025-02-06 22:03:21.931521,18.87,87.58,17.73,82.27,17.71,82.29,-1.16,-5.29
NBA,f592f9667df5d2b96f41a71c90cddf39,fliff,Washington Wizards,Cleveland Cavaliers,935.0,-2195.0,2025-02-06 22:03:21.931521,9.66,95.64,9.17,90.83,9.32,90.68,-0.34,-4.96
NBA,9a5a6098686e727ed1ed46d6dfc879ca,fliff,Atlanta Hawks,Milwaukee Bucks,170.0,-230.0,2025-02-06 22:03:21.931521,37.04,69.7,34.7,65.3,34.7,65.3,-2.34,-4.4
NBA,2ee31055f5cc3975abda3f49017b550e,fliff,Brooklyn Nets,Miami Heat,215.0,-295.0,2025-02-06 22:03:21.931521,31.75,74.68,29.83,70.17,30.15,69.85,-1.6,-4.83
